portNo,portName
10940,Punta Delgada
10941,Puerto Sara
10942,Caleta Clarencia
10943,Rada Punta Arenas
10944,Bahia Agua Fresca
10945,Port San Juan De La Juan
10946,Bahia Harris
10947,Puerto Yartou
10948,Caleta Mina Elena
10949,Puerto Natales
10950,Puerto Chacabuco
10951,Puerto Castro
10952,Puerto Quemchi
10953,Puerto Montt
10954,Puerto De Corral
10955,Bahia De Valdivia
10956,Lota
10957,Coronel
10958,Bahia San Vicente
10959,Talcahuano
10960,Lirquen
10961,Penco
10962,Puerto San Antonio
10963,Bahia De Valparaiso
10964,Bahia Quintero (Ventanas)
10965,Bahia Herradura Guayacan
10966,Coquimbo
10967,Huasco
10968,Puerto Caldera
10969,Puerto Calderilla
10970,Puerto Chanaral
10971,Taltal
10972,Antofagasta
10973,Mejillones
10974,Caleta Patillos
10975,Tocopilla
10976,Iquique
10977,Rada De Arica
10978,Puerto Ilo
10979,Bahia De Matarani
10980,Bahia San Nicolas
10981,Conchan Oil Terminal
10982,Puerto Del Callao
10983,La Pampilla Oil Terminal
10984,Bahia De Ancon
10985,Chancay
10986,Puerto De Huacho
10987,Puerto Supe
10988,Punta Lobitos (Bahia De Huarm
10989,Puerto De Chimbote
10990,Salaverry
10991,Pimental
10992,Puerto Bayovar
10993,Paita
10994,Talara
10995,Caleta Lobitos
10996,Puerto Cabo Blanco
10997,Puerto Bolivar
10998,Guayaquil
10999,Puerto Maritimo De Guayaquil
11000,La Libertad
11001,Manta
11002,Esmeraldas
11003,Tumaco
11004,Buenaventura
11005,Balboa
11006,Vacamonte
11007,Charco Azul
11008,Pedregal
11009,Puerto Armuelles
11010,Golfito
11011,Puerto Quepos
11012,Puerto Caldera
11013,Puntarenas
11014,Puerto Sandino
11015,Corinto
11016,Puerto De Hencan
11017,La Union
11018,Acajutla
11019,Acajutla Offshore Terminal
11020,Puerto Quetzal
11021,Puerto Madero
11022,Salina Cruz
11023,Acapulco
11024,Lazaro Cardenas
11025,Manzanillo
11026,Puerto Vallarta
11027,Mazatlan
11028,Topolobampo
11029,Guaymas
11030,Santa Rosalia
11031,Isla San Marcos
11032,San Juan De La Costa
11033,Pichilingue
11034,La Paz
11035,Puerto Morro Redondo
11036,Ensenada
11037,Rosarito
11038,San Diego
11039,Wilson Cove
11040,Isthmus Cove
11041,Avalon
11042,Newport Beach
11043,Long Beach
11044,Los Angeles
11045,El Segundo
11046,Port Hueneme
11047,Prisoners
11048,Ventura
11049,Carpinteria
11050,Santa Barbara
11051,Ellwood
11052,Gaviota
11053,Pismo Beach
11054,Port San Luis
11055,Morro Bay
11056,Monterey
11057,Moss Landing
11058,Santa Cruz
11059,Davenport
11060,Princetown
11061,San Francisco
11062,Yerbabuena Island
11063,Redwood City
11064,Alameda
11065,Oakland
11066,Berkeley
11067,Point Richmond
11068,Point San Pablo
11069,Sausalito
11070,Pinole Point
11071,Oleum
11072,Mare Island
11073,South Vallejo
11074,Crockett
11075,Port Costa
11076,Benicia
11077,Martinez
11078,Pittsburg
11079,Antioch
11080,Stockton
11081,Rio Vista
11082,Isleton
11083,Walnut Grove
11084,Courtland
11085,Sacramento
11086,Bodega Bay
11087,Fort Bragg
11088,Fields Landing
11089,Eureka
11090,Samoa
11091,Crescent City
11092,Port Orford
11093,Bandon
11094,Prosper
11095,Empire
11096,North Bend
11097,Coos Bay
11098,Winchester Bay
11099,Gardiner
11100,Reedsport
11101,Florence
11102,Glenada
11103,Cushman
11104,Waldport
11105,Newport
11106,Toledo
11107,Depoe Bay
11108,Ilwaco
11109,Warrenton
11110,Astoria
11111,Tongue Point
11112,Westport
11113,Rainier
11114,Longview
11115,Kalama
11116,St Helens
11117,Portland
11118,Vancouver
11119,Camas
11120,Washougal
11121,The Dalles
11122,Nahcotta
11123,South Bend
11124,Raymond
11125,Willapa Harbor
11126,Westhaven Cove
11127,Bay City
11128,Aberdeen
11129,Hoquiam
11130,La Push
11131,Neah Bay
11132,Sekiu
11133,Port Angeles
11134,Port Townsend
11135,Glen Cove
11136,Hoodsport
11137,Port Gamble
11138,Poulsbo
11139,Keyport
11140,Winslow
11141,Creosote
11142,Fort Ward
11143,East Bremerton
11144,Silverdale
11145,Bremerton
11146,Port Orchard
11147,Quartermaster Harbor
11148,Shelton
11149,Olympia
11150,Nisqually Head
11151,Tacoma
11152,Seattle
11153,Point Wells
11154,Edwards Point
11155,Mukilteo
11156,Everett
11157,Coupeville
11158,Richardson
11159,Friday Harbor
11160,Roche  Harbor
11161,Orcas
11162,Anacortes
11163,Bellingham
11164,Cherry Point
11165,Semiahmoo
11166,Blaine
11167,Steveston
11168,New Westminster
11169,Fraser Mills
11170,Port Coquitlam
11171,Mission City
11172,Vancouver
11173,Port Moody
11174,Squamish
11175,Port Mellon
11176,Westview
11177,Powell River
11178,Duncan Bay
11179,Campbell River
11180,Comox Harbor
11181,Nanoose Harbor
11182,Nanaimo
11183,Harmac
11184,Chemainus
11185,Crofton
11186,Cowichan Bay
11187,Ganges
11188,Lyall Harbor
11189,Hope Bay
11190,Sidney
11191,Bamberton
11192,Victoria Harbor
11193,Esquimalt Harbor
11194,Port San Juan
11195,Port Alberni
11196,Ucluelet
11197,Clayoquot
11198,Ahousat
11199,Gold River
11200,Tahsis
11201,Bergh Cove
11202,Port Alice
11203,Coal Harbor
11204,Port Hardy
11205,Sointula
11206,Alert Bay
11207,Port Mcneill
11208,Bella Coola
11209,Bella Bella
11210,Klemtu
11211,Butedale
11212,Kemano Bay
11213,Kitimat
11214,Porpoise Harbor
11215,Prince Rupert
11216,Port Simpson
11217,Stewart
11218,Masset Harbor
11219,Port Clements
11220,Queen Charlotte
11221,Alliford Bay
11222,Hyder
11223,Hidden Inlet
11224,Metlakatla
11225,George Inlet
11226,Ketchikan
11227,Ward Cove
11228,Knudson Cove
11229,Loring
11230,Yes Bay
11231,Union Bay
11232,Burnett Inlet
11233,Wrangell
11234,Kasaan
11235,Rose Inlet
11236,Hydaburg
11237,Waterfall
11238,Craig
11239,Klawock
11240,Steamboat Bay
11241,Fishermans Harbor
11242,Petersburg
11243,Kake
11244,Washington Bay
11245,Bay Of Pillars
11246,Big Port Walter
11247,Little Port Walter
11248,Port Armstrong
11249,Port Conclusion
11250,Port Alexander
11251,Sitka
11252,Kimshan Cove
11253,Pelican
11254,Elfin Cove
11255,Hoonah
11256,Tenakee Springs
11257,Chatham
11258,Todd
11259,Hood Bay
11260,Hawk Inlet
11261,Funter
11262,Dupont
11263,Juneau
11264,Port Chilkoot
11265,Haines
11266,Tanani Point
11267,Skagway
11268,Letnikof Cove
11269,Excursion Inlet
11270,Yakutat
11271,Katalla
11272,Orca
11273,Cordova
11274,Shepard Point
11275,Swanport
11276,Valdez
11277,Whittier
11278,Crab Bay
11279,Port Ashton
11280,San Juan Cannery
11281,Latouche
11282,Seward
11283,Port Graham
11284,Seldovia
11285,Homer
11286,Coal Point
11287,Ninilchik
11288,Kenai
11289,Nikiski
11290,Anchorage
11291,Drift River
11292,Snug Harbor
11293,Ouzinkie
11294,Kodiak
11295,Womens Bay
11296,Port Hobron
11297,Mccord
11298,Three Saints Bay
11299,Trap Point
11300,Lazy Bay
11301,Karluk
11302,Uyak
11303,Larsen Bay
11304,Port Obrien
11305,Dry Spruce Bay
11306,Port Vita
11307,Bear Island
11308,Hogg Island
11309,Port William
11310,Kanatak
11311,Chignik
11312,Ivanof Bay
11313,Sand Point
11314,Baralof Bay
11315,Unga
11316,Belkofski
11317,King Cove
11318,Cold Bay
